,occ,genre,anchor_word
like,8874,pop,love
know,6021,pop,love
make,5297,pop,love
one,5097,pop,love
fall,4860,pop,love
true,4684,pop,love
got,4440,pop,love
way,4438,pop,love
let,4287,pop,love
cause,4266,pop,love
come,6184,pop,baby
know,3441,pop,baby
got,3128,pop,baby
go,2966,pop,baby
like,2698,pop,baby
cause,2608,pop,baby
hey,2447,pop,baby
please,2429,pop,baby
let,2427,pop,baby
tell,2342,pop,baby
whoa,6855,pop,oh
uh,4412,pop,oh
go,3581,pop,oh
know,3506,pop,oh
god,3204,pop,oh
like,2879,pop,oh
yes,2586,pop,oh
come,2572,pop,oh
hey,2482,pop,oh
say,2456,pop,oh
ah,968,pop,ooh
like,719,pop,ooh
wee,598,pop,ooh
say,482,pop,ooh
oooh,465,pop,ooh
go,434,pop,ooh
hoo,415,pop,ooh
got,408,pop,ooh
hey,376,pop,ooh
whoa,368,pop,ooh
sha,1324,pop,la
de,922,pop,la
hey,752,pop,la
fa,666,pop,la
dee,584,pop,la
lala,425,pop,la
like,412,pop,la
vie,364,pop,la
tra,347,pop,la
say,333,pop,la
hey,856,pop,na
nana,452,pop,na
nah,367,pop,na
right,324,pop,na
sha,291,pop,na
say,204,pop,na
naa,147,pop,na
wish,146,pop,na
whoa,146,pop,na
ah,134,pop,na
break,3822,pop,heart
broken,3211,pop,heart
got,1838,pop,heart
like,1741,pop,heart
let,1629,pop,heart
take,1414,pop,heart
know,1391,pop,heart
broke,1336,pop,heart
mine,1300,pop,heart
breaking,1264,pop,heart
know,5770,pop,wanna
see,4301,pop,wanna
go,4149,pop,wanna
get,3690,pop,wanna
make,3344,pop,wanna
really,1785,pop,wanna
say,1777,pop,wanna
take,1714,pop,wanna
hear,1701,pop,wanna
live,1443,pop,wanna
merry,2121,pop,christmas
day,1215,pop,christmas
tree,875,pop,christmas
time,829,pop,christmas
eve,495,pop,christmas
like,425,pop,christmas
little,419,pop,christmas
every,342,pop,christmas
white,311,pop,christmas
want,286,pop,christmas
little,3694,pop,girl
know,3160,pop,girl
like,2902,pop,girl
got,2421,pop,girl
get,1671,pop,girl
want,1533,pop,girl
hey,1466,pop,girl
go,1337,pop,girl
good,1290,pop,girl
come,1168,pop,girl
like,1833,hip hop,nigga
aint,1395,hip hop,nigga
get,1371,hip hop,nigga
young,1212,hip hop,nigga
got,1150,hip hop,nigga
real,1147,hip hop,nigga
know,1111,hip hop,nigga
ass,946,hip hop,nigga
thats,941,hip hop,nigga
make,650,hip hop,nigga
know,1338,hip hop,niggas
like,1333,hip hop,niggas
get,1136,hip hop,niggas
real,1122,hip hop,niggas
aint,881,hip hop,niggas
got,861,hip hop,niggas
ass,720,hip hop,niggas
cause,700,hip hop,niggas
want,604,hip hop,niggas
cant,597,hip hop,niggas
aint,2460,hip hop,shit
like,2016,hip hop,shit
got,1406,hip hop,shit
get,1281,hip hop,shit
thats,1004,hip hop,shit
real,944,hip hop,shit
talk,732,hip hop,shit
know,723,hip hop,shit
cause,702,hip hop,shit
say,594,hip hop,shit
like,1214,hip hop,bitch
ass,1042,hip hop,bitch
got,914,hip hop,bitch
get,830,hip hop,bitch
bad,776,hip hop,bitch
aint,671,hip hop,bitch
know,589,hip hop,bitch
thats,413,hip hop,bitch
ya,410,hip hop,bitch
cause,355,hip hop,bitch
hey,1755,hip hop,yo
ass,1125,hip hop,yo
get,945,hip hop,yo
man,682,hip hop,yo
like,676,hip hop,yo
got,588,hip hop,yo
know,459,hip hop,yo
ay,417,hip hop,yo
go,408,hip hop,yo
whats,406,hip hop,yo
know,389,hip hop,niggaz
like,375,hip hop,niggaz
get,311,hip hop,niggaz
ass,304,hip hop,niggaz
got,284,hip hop,niggaz
real,264,hip hop,niggaz
aint,217,hip hop,niggaz
cant,204,hip hop,niggaz
cause,175,hip hop,niggaz
want,171,hip hop,niggaz
know,1534,hip hop,yall
aint,756,hip hop,yall
like,693,hip hop,yall
get,529,hip hop,yall
yes,494,hip hop,yall
want,467,hip hop,yall
come,425,hip hop,yall
cant,393,hip hop,yall
see,383,hip hop,yall
got,363,hip hop,yall
fuckin,446,hip hop,wit
rock,423,hip hop,wit
get,420,hip hop,wit
ya,414,hip hop,wit
aint,323,hip hop,wit
us,275,hip hop,wit
lean,257,hip hop,wit
come,247,hip hop,wit
em,221,hip hop,wit
hit,196,hip hop,wit
give,3263,hip hop,fuck
around,1205,hip hop,fuck
em,1104,hip hop,fuck
get,1095,hip hop,fuck
like,936,hip hop,fuck
cant,759,hip hop,fuck
say,644,hip hop,fuck
want,575,hip hop,fuck
man,539,hip hop,fuck
us,536,hip hop,fuck
bad,606,hip hop,bitches
like,488,hip hop,bitches
got,444,hip hop,bitches
get,335,hip hop,bitches
money,310,hip hop,bitches
want,258,hip hop,bitches
ass,247,hip hop,bitches
know,240,hip hop,bitches
aint,230,hip hop,bitches
bottles,157,hip hop,bitches
one,385,not available,verse
