"year","ranking","artist","title"
1964,1,"The Beatles","I Want to Hold Your Hand"
1964,2,"The Beatles","She Loves You"
1964,3,"Louis Armstrong","Hello, Dolly!"
1964,4,"Roy Orbison","Oh, Pretty Woman"
1964,5,"The Beach Boys","I Get Around"
1964,6,"Dean Martin","Everybody Loves Somebody"
1964,7,"Mary Wells","My Guy"
1964,8,"Gale Garnett","We'll Sing in the Sunshine"
1964,9,"J. Frank Wilson & the Cavaliers","Last Kiss"
1964,10,"The Supremes","Where Did Our Love Go"
1964,11,"Barbra Streisand","People"
1964,12,"Al Hirt","Java"
1964,13,"The Beatles","A Hard Day's Night"
1964,14,"The Beatles","Love Me Do"
1964,15,"Manfred Mann","Do Wah Diddy Diddy"
1964,16,"The Beatles","Please Please Me"
1964,17,"Martha and the Vandellas","Dancing in the Street"
1964,18,"Billy J. Kramer & The Dakotas","Little Children"
1964,19,"The Ray Charles Singers","Love Me with All Your Heart (Cuando Calienta El Sol)"
1964,20,"The Drifters","Under the Boardwalk"
1964,21,"The Dixie Cups","Chapel of Love"
1964,22,"Terry Stafford","Suspicion"
1964,23,"The Dave Clark Five","Glad All Over"
1964,24,"The Four Seasons","Rag Doll"
1964,25,"The Four Seasons","Dawn (Go Away)"
1964,26,"The Newbeats","Bread and Butter"
1964,27,"Gene Pitney","It Hurts to Be in Love"
1964,28,"Jan and Dean","Dead Man's Curve"
1964,29,"Jay and the Americans","Come a Little Bit Closer"
1964,30,"Peter and Gordon","A World Without Love"
1964,31,"The Honeycombs","Have I the Right?"
1964,32,"The Serendipity Singers","Don't Let the Rain Come Down (Crooked Little Man)"
1964,33,"The Supremes","Baby Love"
1964,34,"Betty Everett & Jerry Butler","Let It Be Me"
1964,35,"Dusty Springfield","Wishin' and Hopin'"
1964,36,"Lesley Gore","You Don't Own Me"
1964,37,"Dionne Warwick","Walk On By"
1964,38,"The Animals","The House of the Rising Sun"
1964,39,"Ronny & the Daytonas","G.T.O."
1964,40,"The Beatles","Twist and Shout"
1964,41,"Johnny Rivers","Memphis"
1964,42,"Danny Williams","White On White"
1964,43,"The Rip Chords","Hey Little Cobra"
1964,44,"Betty Everett","The Shoop Shoop Song (It's in His Kiss)"
1964,45,"The Dave Clark Five","Bits and Pieces"
1964,46,"Millie Small","My Boy Lollipop"
1964,47,"Major Lance","Um, Um, Um, Um, Um, Um"
1964,48,"Jan and Dean","The Little Old Lady from Pasadena"
1964,49,"Gerry and the Pacemakers","Don't Let the Sun Catch You Crying"
1964,50,"Chad & Jeremy","A Summer Song"
1964,51,"Stan Getz & Astrud Gilberto","The Girl from Ipanema"
1964,52,"The Beatles","Can't Buy Me Love"
1964,53,"The Shangri-Las","Remember (Walking in the Sand)"
1964,54,"Bobby Freeman","C'mon and Swim"
1964,55,"The Beatles","Do You Want to Know a Secret"
1964,56,"The Impressions","Keep On Pushing"
1964,57,"The Four Tops","Baby I Need Your Loving"
1964,58,"Diane Renay","Navy Blue"
1964,59,"The Bachelors","Diane"
1964,60,"The Marketts","Out of Limits"
