"Band","Lyrics","Song","Year"
"Thom Yorke","open again we breathe again upon another shore washed up we live again just sing again just say the magic words open again we live again","Open Again","2018"
"Thom Yorke","this is a waltz thinking about our bodies what they mean for our salvation with only the clothes that we stand up in just the ground on which we stand is the darkness ours to take bathed in lightness bathed in heat all is well as long as we keep spinning here and now dancing behind a wall when the old songs and laughter we do are forgiven always and never been true when i arrive will you come and find me or in a crowd be one of them wore the wrong sign back beside her know tomorrows at peace","Suspirium","2018"
"Thom Yorke","this is a waltz thinking about our bodies what they mean for our salvation with only the clothes that we stand up in just the ground on which we stand is the darkness ours to take bathed in lightness bathed in heat all is well as long as we keep spinning here and now dancing behind a wall when the old songs and laughter we do are forgiven always and never been true when i arrive will you come and find me or in a crowd be one of them wore the wrong sign back beside her know tomorrows at peace","Suspirium Finale","2018"
"Thom Yorke","ive turned turned all broken my bones im sorry must go some water some water i walk in willows the willows somehow i go where i dont know to where i dont know to walk in sorrow and shame a knife is buried","The Universe Is Indifferent","2018"
"Thom Yorke","come under my wings little bird come under my wings little bird come under my wings unmade unmade i swear that theres nothing up my sleeves and then back again i swear theres nothing unmade theres no faces wont grow back again broken pieces unmade i swear theres nothing wont grow back again i swear theres nothing come under my wings come under my wings come under my wings under my wings were unmade","Unmade","2018"
"Thomaner Chor","im dreaming of a white christmas just like the ones i used to know where the treetops glisten and children listen to hear sleigh bells in the snow im dreaming of a white christmas just like the ones i used to know where the treetops glisten and children listen to hear sleigh bells in the snow im dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white im dreaming of a white christmas just like the ones i used to know may your days be merry and bright and may all your christmases be white im dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white may your days be merry and bright and may all your christmases be white and may all your christmases be white all your christmases be white and may all your christmases be white all your christmases be white and may all your christmases be all your christmases be white all your christmases be white","White Christmas","2000"
"Thomas","odio tante cose da quando ti conosco e non ne conosco neanche il perche ma lo intuisco odio il mio nome solo senza il tuo ogni fottuto addio io odio quando ti odi e mi allontani perche hai delle isole negli occhi e il dolore piu profondo riposa almeno unora solo se ti incontro e ti a m o e con le mani dico quello che non so e tu mi ami trama sintetica di una giornata storica e tutto e perfetto tutto somiglia a te e un anno va bellissimo bellissimo cosi come sei piu forte di ogni bugia se la gente ferisce e perche tu sei migliore e lo capisce bene la tua timidezza non condanna no ma ti eleva da chi odia chi ferisce e inganna hai delle isole negli occhi e il dolore piu profondo riposa almeno unora solo se ti incontro e ti a m o e con le mani dico quello che non so e tu mi ami trama sintetica di una giornata storica e tutto e perfetto tutto somiglia a te e un anno va bellissimo bellissimo cosi come io non mento non importa cosa dicono nel silenzio guardo le anime che passano di queste anime tu sei la piu speciale perche sorridi anche inseguita dal dolore e ti a m o anche se soffri e poi pretendi non si veda quando vorresti che il sorriso tuo invertisse la controregola che regola le masse e tu mi ami dici che esistono solo persone buone quelle cattive sono solamente sole e forse e cosi hai delle isole negli occhi e il dolore piu profondo riposa almeno unora solo se ti incontro e ti a m o e con le mani dico quello che non so e tu mi ami trama sintetica di una giornata storica hai delle isole negli occhi e il dolore piu profondo riposa almeno unora solo se ti incontro e ti a m o e con le mani dico quello che non so e tu mi ami trama sintetica di una giornata storica hai delle isole negli occhi e il dolore piu profondo riposa almeno unora solo se ti incontro","Hai delle isole negli occhi","2017"
"Thomas","devi credermi sara sempre magico forti e deboli da che parte non lo so devi credermi come sempre mi rimani solo che tu sara sempre magico i sogni vanno fatti ad occhi aperti altri invece no quante scelte abbiamo fatto noi noi e quante volte no vivere al contrario con i giorni senza orario penso che sarebbe meglio con me ora che sai come aiutare a sollevarmi se devi credermi sara sempre magico forti e deboli da che parte non lo so devi credermi come sempre mi rimani solo che tu sara sempre magico sara sempre magico sara sempre magico yeah yeah yeah yeah magico ti sentirai mancare laria ad ogni mossa che faro ta fili legni quasi rotti secchi pesi che non controllero io e te resteremo qui il tempo di capire per portarci al nostro primo incontro tradire la liberta per possedere te possedere noi devi credermi sara sempre magico forti e deboli da che parte non lo so devi credermi come sempre mi rimani solo che tu sara sempre magico no no no sara sempre magico no no no no sara sempre magico magico","Forti e deboli","2017"
"Thomas","give me a window with one way glass just look out on the world and watch people pass give me a window to shield me rock cant be seen i dont wanna be free give me a window to stop the sound and to keep out of the noise of the merry go round give me a window with one way glass save me from questions i might have to ask","One Way Glass",""
"Thomas","a long time ago when we met you were lonely i helped you forget life was solely only a wish to survive and blood flows much thicker than wine friends who give up their time to be near you sing you a song just to cheer you you will be rich in the end brother now youve got a friend life hurries by in the wink of an eye almost without meaning days speeding past like the wind hard to grasp no wonder youre bleeding friendship is needed today or tomorrow is empty and we need each other please stay for our only hope is together well live in much calmer weather and well make a beautiful blend brother now youve got a friend friends who give up their time to be near you sing you a song just to cheer you you will be rich in the end brother now youve got a friend","Friends","2006"
