Band,Song,Url
Antonio Serrano,Esta Tarde Ví Llover,/lyric/4629182/Naval%C3%B3n%2C+Santi/Esta+Tarde+V%C3%AD+Llover
Antonio Serrano,"Navalón, Santi","artist/Navalón,-Santi/0"
Antonio Serrano,Armando Manzanero,artist/Armando-Manzanero/29260
Antonio Serrano,Presuntos Implicados,artist/Presuntos-Implicados/34444
Antonio Serrano,Juan Luis Gimenez,artist/Juan-Luis-Gimenez/152679
Antonio Serrano,Nacho Maño,artist/Nacho-Maño/222441
Antonio Serrano,Marcelo Novati,artist/Marcelo-Novati/351704
Antonio Serrano,Sole Giménez,artist/Sole-Giménez/616879
Antonio Serrano,Gino Pavone,artist/Gino-Pavone/641973
"Antonio Sherman ""Da'tru-Mmogz""","Antonio Sherman ""Da'tru-Mmogz""",artist/Antonio-Sherman-
"Antonio Sherman ""Da'tru-Mmogz""",Allan Sherman,artist/Allan-Sherman/228
"Antonio Sherman ""Da'tru-Mmogz""",Bobby Sherman,artist/Bobby-Sherman/5413
"Antonio Sherman ""Da'tru-Mmogz""",Daryl Sherman,artist/Daryl-Sherman/11679
"Antonio Sherman ""Da'tru-Mmogz""",Mark Sherman,artist/Mark-Sherman/22991
"Antonio Sherman ""Da'tru-Mmogz""",Sherman Holmes,artist/Sherman-Holmes/87571
"Antonio Sherman ""Da'tru-Mmogz""",Dick Sherman,artist/Dick-Sherman/124580
"Antonio Sherman ""Da'tru-Mmogz""",Garry Sherman,artist/Garry-Sherman/124583
"Antonio Sherman ""Da'tru-Mmogz""",Ray Sherman,artist/Ray-Sherman/124591
"Antonio Sherman ""Da'tru-Mmogz""",Richard M. Sherman,artist/Richard-M.-Sherman/124592
"Antonio Sherman ""Da'tru-Mmogz""",Robert B. Sherman,artist/Robert-B.-Sherman/124593
"Antonio Sherman ""Da'tru-Mmogz""",Andrew Sherman,artist/Andrew-Sherman/146401
"Antonio Sherman ""Da'tru-Mmogz""",Lynne Sherman,artist/Lynne-Sherman/167782
"Antonio Sherman ""Da'tru-Mmogz""",Bim Sherman,artist/Bim-Sherman/180725
"Antonio Sherman ""Da'tru-Mmogz""",Sherman Irby,artist/Sherman-Irby/203367
"Antonio Sherman ""Da'tru-Mmogz""",The Sherman Brothers,artist/The-Sherman-Brothers/511178
"Antonio Sherman ""Da'tru-Mmogz""",Lindon-Sherman Flute & Guitar Duo,artist/Lindon-Sherman-Flute-&-Guitar-Duo/511522
"Antonio Sherman ""Da'tru-Mmogz""",Sammy Sherman,artist/Sammy-Sherman/674061
"Antonio Sherman ""Da'tru-Mmogz""",Kenneth Sherman,artist/Kenneth-Sherman/995955
"Antonio Sherman ""Da'tru-Mmogz""",Andy Sherman,artist/Andy-Sherman/1048339
"Antonio Sherman ""Da'tru-Mmogz""",Dorothy Sherman,artist/Dorothy-Sherman/1061930
"Antonio Sherman ""Da'tru-Mmogz""",Joe Sherman & His Orchestra & Chorus,artist/Joe-Sherman-&-His-Orchestra-&-Chorus/1123306
"Antonio Sherman ""Da'tru-Mmogz""",Suzanne Sherman Propp,artist/Suzanne-Sherman-Propp/1131678
"Antonio Sherman ""Da'tru-Mmogz""",Richard Sherman,artist/Richard-Sherman/1290324
"Antonio Sherman ""Da'tru-Mmogz""",Sherman B. Winfield,artist/Sherman-B.-Winfield/2685999
"Antonio Sherman ""Da'tru-Mmogz""",Ransom Sherman,artist/Ransom-Sherman/2901835
"Antonio Sherman ""Da'tru-Mmogz""","Sherman Andrus, Jr.","artist/Sherman-Andrus,-Jr./51990"
"Antonio Sherman ""Da'tru-Mmogz""",Bobby Sherman,artist/Bobby-Sherman/274198659
"Antonio Sherman ""Da'tru-Mmogz""",Sherman Ayres,artist/Sherman-Ayres/958242
"Antonio Sherman ""Da'tru-Mmogz""",Sherman Hunter,artist/Sherman-Hunter/1068680
"Antonio Sherman ""Da'tru-Mmogz""",Dorothy & Andy Sherman,artist/Dorothy-&-Andy-Sherman/2120781
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Hart,artist/Antonio-Hart/6687
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Adolfo,artist/Antonio-Adolfo/10008
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Aguilar,artist/Antonio-Aguilar/28939
"Antonio Sherman ""Da'tru-Mmogz""",Marco Antonio Muñiz,artist/Marco-Antonio-Muñiz/29315
"Antonio Sherman ""Da'tru-Mmogz""",Lorenzo Antonio,artist/Lorenzo-Antonio/37080
"Antonio Sherman ""Da'tru-Mmogz""",Marco Antonio,artist/Marco-Antonio/52163
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Carmona,artist/Antonio-Carmona/62556
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Forcione,artist/Antonio-Forcione/76861
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Carlos Jobim,artist/Antonio-Carlos-Jobim/90752
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Sanchez,artist/Antonio-Sanchez/121767
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Miguel,artist/Antonio-Miguel/157793
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Tarrago Ros,artist/Antonio-Tarrago-Ros/163038
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Pantoja,artist/Antonio-Pantoja/175020
"Antonio Sherman ""Da'tru-Mmogz""",Marco Antonio Solís,artist/Marco-Antonio-Solís/195164
"Antonio Sherman ""Da'tru-Mmogz""",Miguel Antonio,artist/Miguel-Antonio/201382
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Vega,artist/Antonio-Vega/202228
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Flores,artist/Antonio-Flores/204984
"Antonio Sherman ""Da'tru-Mmogz""","Antonio Cabán Vale ""El Topo""",artist/Antonio-Cabán-Vale-
"Antonio Sherman ""Da'tru-Mmogz""",António García Abril,artist/António-García-Abril/339328
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Banderas,artist/Antonio-Banderas/339649
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Faraò,artist/Antonio-Faraò/341321
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Rosales,artist/Antonio-Rosales/344710
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Serrano,artist/Antonio-Serrano/345018
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Montana,artist/Antonio-Montana/363469
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Rossano,artist/Antonio-Rossano/380854
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Ciacca,artist/Antonio-Ciacca/393122
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Bonderos,artist/Antonio-Bonderos/461273
"Antonio Sherman ""Da'tru-Mmogz""",Luis Antonio Lopez,artist/Luis-Antonio-Lopez/519929
"Antonio Sherman ""Da'tru-Mmogz""",António Zambujo,artist/António-Zambujo/597756
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Phelon,artist/Antonio-Phelon/607396
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Orozco,artist/Antonio-Orozco/626289
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Neal,artist/Antonio-Neal/703220
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Castillo de la Gala,artist/Antonio-Castillo-de-la-Gala/709084
"Antonio Sherman ""Da'tru-Mmogz""",Antonio Genovese,artist/Antonio-Genovese/754128
